Date Retail,Year Retail,Quarter Retail,Month Number Retail,Week Retail,Month Name Retail,Week Number of Month Retail
6/16/14 0:00,2014,2,5,20,June,3
6/17/14 0:00,2014,2,5,20,June,3
6/18/14 0:00,2014,2,5,20,June,3
6/19/14 0:00,2014,2,5,20,June,3
6/20/14 0:00,2014,2,5,20,June,3
6/21/14 0:00,2014,2,5,20,June,3
6/22/14 0:00,2014,2,5,21,June,4
6/23/14 0:00,2014,2,5,21,June,4
6/24/14 0:00,2014,2,5,21,June,4
6/25/14 0:00,2014,2,5,21,June,4
6/26/14 0:00,2014,2,5,21,June,4
6/27/14 0:00,2014,2,5,21,June,4
6/28/14 0:00,2014,2,5,21,June,4
6/29/14 0:00,2014,2,5,22,June,5
6/30/14 0:00,2014,2,5,22,June,5
7/1/14 0:00,2014,2,5,22,June,5
7/2/14 0:00,2014,2,5,22,June,5
7/3/14 0:00,2014,2,5,22,June,5
7/4/14 0:00,2014,2,5,22,June,5
7/5/14 0:00,2014,2,5,22,June,5
7/6/14 0:00,2014,2,6,23,July,1
7/7/14 0:00,2014,2,6,23,July,1
7/8/14 0:00,2014,2,6,23,July,1
7/9/14 0:00,2014,2,6,23,July,1
7/10/14 0:00,2014,2,6,23,July,1
7/11/14 0:00,2014,2,6,23,July,1
7/12/14 0:00,2014,2,6,23,July,1
7/13/14 0:00,2014,2,6,24,July,2
7/14/14 0:00,2014,2,6,24,July,2
7/15/14 0:00,2014,2,6,24,July,2
7/16/14 0:00,2014,2,6,24,July,2
7/17/14 0:00,2014,2,6,24,July,2
7/18/14 0:00,2014,2,6,24,July,2
7/19/14 0:00,2014,2,6,24,July,2
7/20/14 0:00,2014,2,6,25,July,3
7/21/14 0:00,2014,2,6,25,July,3
7/22/14 0:00,2014,2,6,25,July,3
7/23/14 0:00,2014,2,6,25,July,3
7/24/14 0:00,2014,2,6,25,July,3
7/25/14 0:00,2014,2,6,25,July,3
7/26/14 0:00,2014,2,6,25,July,3
7/27/14 0:00,2014,2,6,26,July,4
7/28/14 0:00,2014,2,6,26,July,4
7/29/14 0:00,2014,2,6,26,July,4
7/30/14 0:00,2014,2,6,26,July,4
7/31/14 0:00,2014,2,6,26,July,4
8/1/14 0:00,2014,2,6,26,July,4
8/2/14 0:00,2014,2,6,26,July,4
8/3/14 0:00,2014,3,7,27,Aug,1
8/4/14 0:00,2014,3,7,27,Aug,1
8/5/14 0:00,2014,3,7,27,Aug,1
8/6/14 0:00,2014,3,7,27,Aug,1
8/7/14 0:00,2014,3,7,27,Aug,1
8/8/14 0:00,2014,3,7,27,Aug,1
8/9/14 0:00,2014,3,7,27,Aug,1
8/10/14 0:00,2014,3,7,28,Aug,2
8/11/14 0:00,2014,3,7,28,Aug,2
8/12/14 0:00,2014,3,7,28,Aug,2
8/13/14 0:00,2014,3,7,28,Aug,2
8/14/14 0:00,2014,3,7,28,Aug,2
8/15/14 0:00,2014,3,7,28,Aug,2
8/16/14 0:00,2014,3,7,28,Aug,2
8/17/14 0:00,2014,3,7,29,Aug,3
8/18/14 0:00,2014,3,7,29,Aug,3
8/19/14 0:00,2014,3,7,29,Aug,3
8/20/14 0:00,2014,3,7,29,Aug,3
8/21/14 0:00,2014,3,7,29,Aug,3
8/22/14 0:00,2014,3,7,29,Aug,3
8/23/14 0:00,2014,3,7,29,Aug,3
8/24/14 0:00,2014,3,7,30,Aug,4
8/25/14 0:00,2014,3,7,30,Aug,4
8/26/14 0:00,2014,3,7,30,Aug,4
8/27/14 0:00,2014,3,7,30,Aug,4
8/28/14 0:00,2014,3,7,30,Aug,4
8/29/14 0:00,2014,3,7,30,Aug,4
8/30/14 0:00,2014,3,7,30,Aug,4
8/31/14 0:00,2014,3,8,31,Sep,1
9/1/14 0:00,2014,3,8,31,Sep,1
9/2/14 0:00,2014,3,8,31,Sep,1
9/3/14 0:00,2014,3,8,31,Sep,1
9/4/14 0:00,2014,3,8,31,Sep,1
9/5/14 0:00,2014,3,8,31,Sep,1
9/6/14 0:00,2014,3,8,31,Sep,1
9/7/14 0:00,2014,3,8,32,Sep,2
9/8/14 0:00,2014,3,8,32,Sep,2
9/9/14 0:00,2014,3,8,32,Sep,2
9/10/14 0:00,2014,3,8,32,Sep,2
9/11/14 0:00,2014,3,8,32,Sep,2
9/12/14 0:00,2014,3,8,32,Sep,2
9/13/14 0:00,2014,3,8,32,Sep,2
9/14/14 0:00,2014,3,8,33,Sep,3
9/15/14 0:00,2014,3,8,33,Sep,3
9/16/14 0:00,2014,3,8,33,Sep,3
9/17/14 0:00,2014,3,8,33,Sep,3
9/18/14 0:00,2014,3,8,33,Sep,3
9/19/14 0:00,2014,3,8,33,Sep,3
9/20/14 0:00,2014,3,8,33,Sep,3
9/21/14 0:00,2014,3,8,34,Sep,4
9/22/14 0:00,2014,3,8,34,Sep,4
9/23/14 0:00,2014,3,8,34,Sep,4
9/24/14 0:00,2014,3,8,34,Sep,4
9/25/14 0:00,2014,3,8,34,Sep,4
9/26/14 0:00,2014,3,8,34,Sep,4
9/27/14 0:00,2014,3,8,34,Sep,4
9/28/14 0:00,2014,3,8,35,Sep,5
9/29/14 0:00,2014,3,8,35,Sep,5
9/30/14 0:00,2014,3,8,35,Sep,5
10/1/14 0:00,2014,3,8,35,Sep,5
10/2/14 0:00,2014,3,8,35,Sep,5
10/3/14 0:00,2014,3,8,35,Sep,5
10/4/14 0:00,2014,3,8,35,Sep,5
